"Position","correct","randomiser.6l9g","Trial.Number","out_degree","in_degree","total_degree","Length","Log_Freq_HAL","Ortho_N","Phono_N","Concreteness_Rating","Age_Of_Acquisition","Female"
2,1,"List1",56,8,52,60,5,9.33,4,10,3.84,6.17,1
3,0,"List1",69,17,11,28,3,8.307,6,8,4.37,5.79,0
1,0,"List1",7,11,25,36,5,9.821,4,10,4.87,7.68,0
5,1,"List1",35,12,10,22,4,9.414,6,24,3.5,7.32,1
1,1,"List2",67,7,3,10,5,8.293,0,5,3.64,8.15,1
4,0,"List1",82,12,9,21,4,9.414,6,24,3.5,7.32,0
3,0,"List1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,1,"List1",7,18,15,32,3,9.062,18,23,4.29,7.05,1
5,0,"List2",65,11,7,18,5,8.765,3,13,3.19,8.17,1
3,0,"List1",69,14,2,16,4,6.989,13,27,4.5,7.6,0
6,1,"List2",120,15,53,68,4,9.211,9,13,3.83,6.16,0
5,1,"List2",41,13,2,15,4,8.345,12,17,2.89,7.58,0
1,1,"List1",7,18,11,29,4,10.294,16,36,2.25,5.55,0
1,1,"List2",49,11,32,43,4,7.633,6,12,4.86,8.06,0
1,1,"List2",31,14,3,17,4,7.567,6,33,3.81,7.58,0
5,1,"List1",119,12,10,22,4,9.414,6,24,3.5,7.32,0
3,1,"List1",57,13,13,26,5,7.878,2,7,2.82,5.83,0
5,1,"List1",47,9,37,46,5,10.106,8,13,5,4.42,1
4,1,"List2",100,10,8,18,6,7.627,0,2,4.56,9,0
4,0,"List2",64,11,17,28,4,7.65,3,4,2.85,8,1
3,1,"List1",69,13,7,20,4,8.039,14,16,4.72,4.67,0
1,1,"List2",97,15,4,19,4,7.81,14,19,4.63,7.33,1
1,1,"List1",73,9,12,21,5,10.356,1,6,4.3,7.67,1
4,0,"List2",58,10,10,20,4,8.825,12,16,3.4,10.24,0
1,1,"List1",61,12,9,21,5,9.33,3,8,4.59,8.3,0
3,1,"List1",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2,0,"List1",26,15,12,27,4,6.98,15,23,3.96,7.35,0
4,1,"List1",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,"List2",76,12,6,18,5,8.331,1,22,3.79,6.62,1
5,1,"List1",71,17,11,28,3,8.307,6,8,4.37,5.79,0
2,0,"List1",32,3,6,9,3,6.486,13,13,3.63,6.21,1
3,1,"List1",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6,0,"List2",54,16,8,24,6,9.18,2,6,3,8.63,0
5,1,"List1",53,14,18,32,5,7.529,6,19,4.9,5.53,0
2,1,"List1",8,14,45,59,3,9.608,12,34,4.81,4.74,0
4,1,"List1",16,11,13,24,4,8.719,5,11,3.27,6.83,0
5,0,"List1",71,5,3,8,4,7.682,3,29,4.63,8.53,1
5,0,"List2",113,19,14,33,5,8.158,2,9,5,8.47,0
2,1,"List2",86,9,15,24,5,8.27,1,10,2.7,8.39,0
4,1,"List1",100,15,26,41,4,9.422,9,7,4.96,4.8,0
2,0,"List2",86,12,4,16,6,7.851,1,5,2.46,8.37,1
1,1,"List2",55,13,4,17,3,9.216,3,14,4.64,7.52,0
6,0,"List1",78,9,10,19,5,8.793,1,8,3.69,7.746,0
6,1,"List2",36,12,6,18,5,7.363,3,10,4.72,11.05,1
6,0,"List2",6,12,5,17,4,7.291,10,7,3.6,9.58,0
6,0,"List2",120,14,3,17,4,7.567,6,33,3.81,7.58,0
5,0,"List2",119,8,22,30,5,7.795,3,14,3.97,5.94,0
1,1,"List2",67,19,4,23,5,9.285,3,4,3.74,9.83,1
3,0,"List2",93,13,1,14,4,7.622,4,11,4.68,6.81,1
2,1,"List1",98,16,11,27,4,9.609,10,17,4.86,6.37,0
5,1,"List1",119,15,3,18,5,8.108,1,4,3.07,8.89,0
4,0,"List2",100,12,3,15,5,5.204,2,25,5,9.74,1
1,1,"List1",49,14,4,18,4,8.139,10,17,3.39,7.74,0
5,1,"List1",77,11,1,12,5,6.763,3,3,4.78,7.58,0
5,0,"List2",71,11,15,26,3,9.523,10,22,2.89,7.1,1
3,1,"List2",45,11,3,14,4,6.45,3,9,2.27,9.28,0
6,0,"List2",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
5,0,"List1",47,8,52,60,5,9.33,4,10,3.84,6.17,0
2,0,"List1",80,11,58,69,5,9.72,4,6,4.96,4,1
5,1,"List1",83,11,2,13,4,8.35,14,13,4,6.94,0
3,1,"List2",117,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3,0,"List2",93,12,1,13,5,6.582,5,9,3.19,6.11,0
4,0,"List1",118,16,4,20,5,8.404,4,15,4.42,7.16,0
1,1,"List2",109,11,5,16,5,9.906,7,14,4.03,6.94,1
3,0,"List1",111,14,10,24,5,8.753,4,8,3.45,7.49,0
1,1,"List1",103,16,11,27,4,9.609,10,17,4.86,6.37,0
6,0,"List2",12,9,2,11,4,8.535,12,8,3.85,10.1,0
3,0,"List1",39,16,20,36,5,9.474,3,17,4.93,5.05,0
4,0,"List1",118,12,3,15,5,7.74,1,9,4.34,8.35,0
4,1,"List1",106,8,30,38,3,11.851,5,7,4.37,5.37,0
1,1,"List1",13,6,12,18,5,8.185,4,19,2.89,6.4,1
6,1,"List1",18,11,4,15,4,6.727,4,15,4.61,8.44,1
4,1,"List2",82,16,21,36,5,8.926,4,16,4.73,5.05,0
2,0,"List1",26,15,3,18,5,8.108,1,4,3.07,8.89,0
3,1,"List2",111,11,3,14,4,6.45,3,9,2.27,9.28,1
3,1,"List1",99,13,4,17,5,7.024,3,5,3.44,9.74,1
3,0,"List1",45,13,11,24,3,8.813,16,20,3.92,8.22,0
5,0,"List1",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3,1,"List2",75,8,3,11,4,8.22,13,17,4.9,8.31,1
1,1,"List2",55,7,3,10,4,8.824,11,27,4.67,7.68,0
1,1,"List2",19,6,17,23,4,9.955,9,13,3.72,7.4,0
5,0,"List1",11,14,5,19,5,6.891,4,5,2.59,10.32,0
3,1,"List2",117,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,0,"List1",28,13,4,17,5,7.024,3,5,3.44,9.74,0
6,0,"List1",72,17,11,28,3,8.307,6,8,4.37,5.79,1
5,0,"List2",35,13,98,111,4,8.969,15,21,1.97,5.83,0
6,1,"List2",54,18,12,30,5,7.993,2,16,3.97,6.11,0
1,1,"List2",61,19,14,33,5,8.158,2,9,5,8.47,1
4,1,"List2",82,12,0,12,4,8.51,8,14,3.17,3.05,0
1,1,"List1",37,9,12,21,5,10.356,1,6,4.3,7.67,1
5,0,"List1",95,14,45,59,3,9.608,12,34,4.81,4.74,0
5,1,"List2",5,13,5,18,3,7.291,13,27,4.68,6.8,1
3,0,"List2",93,16,8,24,6,9.18,2,6,3,8.63,0
2,1,"List1",8,11,4,15,4,8.079,5,24,3.83,5.55,0
1,1,"List2",13,20,28,48,5,10.055,9,8,3.38,5.83,0
3,0,"List2",117,11,5,16,5,9.906,7,14,4.03,6.94,0
5,1,"List2",71,10,12,22,5,8.408,4,6,4.14,8.17,0
3,1,"List2",75,8,3,11,4,8.22,13,17,4.9,8.31,1
4,1,"List2",46,1,10,11,4,8.301,9,12,3.38,8.11,1
5,0,"List2",23,11,5,16,4,6.387,8,11,4.48,9.95,0
5,0,"List2",59,12,3,15,5,5.204,2,25,5,9.74,0
3,0,"List2",33,16,8,24,6,9.18,2,6,3,8.63,1
1,1,"List1",85,17,6,23,4,8.582,9,13,2.48,8.05,0
2,1,"List1",86,13,7,20,5,7.728,5,13,4.19,6,1
1,1,"List1",103,16,11,27,4,9.609,10,17,4.86,6.37,1
4,1,"List1",106,9,20,29,4,7.328,1,8,3.15,7.28,0
6,1,"List1",60,6,32,38,4,8.443,15,24,2.37,8.05,0
3,0,"List2",105,7,0,7,5,8.659,4,8,2.88,4,1
1,1,"List2",91,12,5,17,5,7.62,2,11,4.93,6.11,0
6,0,"List1",96,13,118,131,4,11.196,10,23,4.07,5.17,0
6,1,"List2",78,10,8,18,4,8.498,11,25,4.13,4.95,1
4,0,"List1",94,13,15,28,5,7.897,2,11,4.07,8.67,0
6,0,"List1",72,5,2,7,3,8.128,15,21,4.88,6.94,0
1,0,"List1",61,17,57,74,3,10.491,9,15,2.93,5,0
2,1,"List2",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
4,0,"List1",40,11,1,12,5,6.763,3,3,4.78,7.58,1
5,0,"List1",35,14,4,18,4,8.139,10,17,3.39,7.74,1
3,0,"List1",69,16,4,20,5,7.257,5,12,3.96,7.89,1
2,1,"List2",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
4,0,"List2",52,14,8,22,4,7.705,13,31,4.84,5.83,0
5,0,"List2",77,16,4,19,4,7.81,14,19,3.97,7.33,0
2,1,"List1",104,12,5,17,3,8.966,4,3,4.14,9.419,0
2,1,"List2",20,14,30,44,3,9.767,18,35,1.85,6.74,1
4,1,"List2",76,14,6,20,5,8.587,5,7,4.87,4.21,0
3,0,"List1",87,14,20,34,4,10.721,14,34,3.82,5.26,1
5,0,"List2",17,7,2,9,4,6.346,16,31,3.37,8.95,0
3,1,"List2",57,13,42,55,4,9.524,10,24,3.19,7.56,0
3,1,"List2",21,18,15,33,5,9.311,5,11,4.46,5.61,0
6,1,"List2",120,15,21,36,5,8.926,9,16,4.56,7.06,0
2,1,"List1",32,18,12,30,4,10.294,16,36,2.25,5.55,1
5,0,"List1",83,8,30,38,3,11.851,5,7,4.37,5.37,1
6,1,"List2",48,20,28,48,5,10.055,9,8,3.38,5.83,1
1,1,"List2",103,17,96,113,3,10.764,13,24,4.83,5.58,0
6,0,"List1",30,9,10,19,4,8.259,8,7,4.7,7.39,0
5,1,"List1",83,11,8,19,6,7.26,1,5,4.55,11.83,1
2,1,"List1",14,16,3,19,4,7.591,13,28,3.86,9.72,0
6,0,"List1",90,9,10,19,5,8.793,1,8,3.69,7.746,0
1,1,"List1",49,11,4,15,4,8.079,5,24,3.83,5.55,1
5,0,"List2",119,8,3,11,4,7.92,8,33,4.14,9.12,0
6,1,"List1",96,11,12,23,4,8.438,10,27,4.57,6.05,0
3,0,"List2",69,14,3,17,5,7.509,5,13,4.68,6.776,0
1,1,"List2",67,19,4,23,5,9.285,3,4,3.74,9.83,0
2,1,"List2",98,10,8,18,5,8.921,7,13,4,6.94,0
1,1,"List2",25,14,2,16,7,6.974,3,5,3.74,7.94,0
6,0,"List1",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3,0,"List1",75,6,8,14,6,6.887,1,2,3.85,9.17,1
6,0,"List2",120,12,6,18,5,8.331,1,22,3.79,6.62,0
6,0,"List2",42,11,8,19,5,7.31,2,12,4.86,6.53,0
6,1,"List1",12,11,2,13,6,6.56,2,4,3.86,8.18,1
4,0,"List1",82,14,20,34,4,10.721,14,34,3.82,5.26,0
1,1,"List2",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,"List1",28,16,3,19,4,7.148,1,20,3.1,9.26,0
2,1,"List2",110,12,6,18,5,7.363,3,10,4.72,11.05,0
6,0,"List2",30,17,96,113,3,10.764,13,24,4.83,5.58,1
6,1,"List2",12,11,8,19,5,7.31,2,12,4.86,6.53,1
2,1,"List1",38,13,33,46,5,10.3,0,11,1.63,7.62,0
5,0,"List2",95,7,2,9,4,6.346,16,31,3.37,8.95,1
4,0,"List2",76,11,1,12,5,6.506,1,14,4.28,7,0
4,1,"List1",58,14,45,59,3,9.608,12,34,4.81,4.74,1
1,1,"List2",73,8,3,11,4,8.22,13,17,4.9,8.31,1
6,1,"List1",30,13,4,17,5,7.024,3,5,3.44,9.74,0
5,0,"List2",23,11,32,43,4,7.633,6,12,4.86,8.06,0
2,0,"List1",44,20,11,31,3,7.774,17,33,3.96,7.57,1
1,0,"List2",49,12,1,13,5,6.582,5,9,3.19,6.11,1
3,1,"List2",51,10,11,21,4,9.05,11,1,2.41,9.58,1
3,0,"List1",81,9,20,29,4,7.328,1,8,3.15,7.28,0
5,0,"List2",23,10,11,21,4,9.05,11,1,2.41,9.58,0
6,0,"List2",36,12,17,29,3,8.83,14,27,4.21,6.17,1
2,0,"List1",56,10,11,21,5,7.678,2,26,4.07,7.59,1
5,0,"List2",59,7,19,26,4,9.038,10,33,4.2,7.11,1
5,0,"List2",71,13,98,111,4,8.969,15,21,1.97,5.83,0
1,1,"List2",37,15,21,36,5,8.926,9,16,4.56,7.06,1
1,1,"List1",91,8,2,10,5,7.277,3,8,4.38,9.28,0
1,1,"List2",109,9,2,11,5,6.837,3,8,2.47,8.8,0
2,1,"List2",44,7,6,13,6,5.565,1,0,4.3,8.05,1
3,1,"List1",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2,1,"List2",14,11,5,16,5,9.906,7,14,4.03,6.94,0
5,0,"List2",53,10,8,18,5,8.921,7,13,4,6.94,1
6,0,"List1",120,12,31,43,4,7.758,11,13,3.14,4.89,0
3,1,"List1",117,16,68,84,5,10.88,13,10,4.5,4.76,0
3,1,"List1",57,11,2,13,5,10.017,5,9,2.38,7.17,1
6,0,"List2",6,16,2,18,5,7.01,3,3,3.56,8.79,1
1,1,"List1",85,13,7,20,4,8.039,14,16,4.72,4.67,0
4,1,"List2",112,15,10,26,4,8.728,4,23,3.5,7.74,0
6,0,"List2",96,15,53,68,4,9.211,9,13,3.83,6.16,1
4,1,"List1",58,15,3,18,5,8.108,1,4,3.07,8.89,0
3,0,"List1",87,13,11,24,3,8.813,16,20,3.92,8.22,0
3,1,"List1",33,11,4,15,4,6.727,4,15,4.61,8.44,0
4,1,"List2",4,4,3,7,5,6.862,3,4,4.57,7.95,0
5,1,"List2",83,11,5,16,4,6.387,8,11,4.48,9.95,1
5,1,"List1",95,6,6,12,5,6.922,3,16,4.09,8.7,1
5,0,"List2",53,13,14,27,5,8.828,4,4,4.7,6.33,1
4,1,"List2",40,10,9,19,4,8.333,11,15,4.21,4.89,0
2,1,"List2",8,11,15,26,3,9.523,10,22,2.89,7.1,0
6,0,"List1",72,6,6,12,5,6.922,3,16,4.09,8.7,0
6,0,"List1",102,15,6,21,5,10.136,8,22,4.7,7.28,1
6,1,"List2",114,14,3,17,4,7.81,14,19,4.63,8.31,0
4,0,"List1",94,20,11,31,3,7.774,17,33,3.96,7.57,1
2,1,"List2",68,12,4,16,4,6.642,7,11,4.36,6.11,1
2,1,"List2",104,16,9,25,4,8.642,14,30,4.56,5.79,0
3,0,"List2",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,1,"List1",55,14,18,32,5,7.529,6,19,4.9,5.53,1
6,1,"List2",42,11,98,109,5,9.179,5,4,3.7,4.22,1
2,1,"List2",104,12,1,13,5,7.65,2,10,4.41,9.42,0
1,1,"List2",115,7,3,10,5,8.293,0,5,3.64,8.15,1
1,1,"List1",7,5,2,7,3,8.128,15,21,4.88,6.94,0
1,1,"List1",103,12,3,15,5,7.74,1,9,4.34,8.35,1
6,0,"List1",12,12,43,55,5,8.321,1,8,4.89,6.53,0
4,1,"List2",100,13,2,15,5,8.182,2,9,4,8.26,1
4,1,"List2",46,18,14,33,5,8.158,2,9,5,8.47,0
2,1,"List2",44,9,3,12,3,9.372,17,30,4.17,7.42,0
1,1,"List2",61,16,104,120,5,10.136,4,5,4.76,3.95,0
2,1,"List1",38,11,9,20,4,8.333,11,12,3.27,6.4,1
6,1,"List1",6,5,3,8,4,8.824,11,27,4.67,5.53,0
1,1,"List2",13,11,2,13,5,8.276,2,4,2.68,5.33,0
2,1,"List2",116,12,1,13,5,6.582,5,9,3.19,6.11,1
2,1,"List2",110,12,1,13,5,7.65,2,10,4.41,9.42,0
5,0,"List1",53,13,11,24,3,8.813,16,20,3.92,8.22,1
3,0,"List1",51,12,17,29,4,10.8,8,8,2.15,4.22,0
5,0,"List2",113,11,3,14,4,6.45,3,9,2.27,9.28,0
2,1,"List2",110,12,4,16,4,6.642,7,11,4.36,6.11,1
6,1,"List2",120,15,104,120,4,10.136,5,30,4.76,3.95,0
5,0,"List2",77,7,19,26,4,9.038,10,33,4.2,7.11,1
6,1,"List2",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,1,"List1",25,11,12,23,4,8.498,10,27,4.57,6.05,0
2,1,"List2",86,13,98,111,4,8.969,15,21,1.97,5.83,0
3,1,"List2",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
6,0,"List1",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,1,"List2",109,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,1,"List1",70,18,14,32,3,9.062,18,23,4.29,7.05,0
5,0,"List2",113,10,11,21,4,9.05,11,1,2.41,9.58,0
4,1,"List2",106,11,2,13,5,8.276,2,4,2.68,5.33,0
5,0,"List2",89,9,15,24,5,8.27,1,10,2.7,8.39,0
5,1,"List1",65,11,1,12,6,6.763,2,4,4.78,7.58,0
2,1,"List2",38,14,3,17,5,7.509,5,13,4.68,6.776,0
1,1,"List1",103,7,1,8,5,6.232,5,14,2.65,9.25,0
4,1,"List2",28,18,15,33,5,9.311,5,11,4.46,5.61,0
5,0,"List2",95,16,8,24,6,9.18,2,6,3,8.63,0
3,1,"List1",21,13,7,20,4,8.039,14,16,4.72,4.67,1
3,1,"List1",33,11,8,19,6,7.26,1,5,4.55,11.83,0
2,1,"List2",92,12,9,21,5,7.396,1,26,3.29,5.47,1
1,1,"List2",61,10,2,12,5,8.053,2,8,1.86,9,1
6,1,"List2",108,14,2,16,5,6.652,3,10,3.77,7.63,0
2,1,"List1",80,12,36,48,6,10.314,5,15,3.9,7.47,0
3,0,"List2",63,9,3,12,3,6.601,13,21,3.43,7.94,0
4,0,"List1",118,12,43,55,5,8.321,1,8,4.89,6.53,0
5,1,"List2",113,14,18,32,4,10.218,12,31,4.34,5.94,1
5,0,"List2",113,13,14,27,5,8.828,4,4,4.7,6.33,1
3,1,"List2",93,13,8,21,4,9.769,11,12,4.8,7.17,0
2,1,"List1",74,18,21,39,4,10.34,8,22,2.54,6.33,0
2,1,"List2",44,8,4,12,6,8.355,0,7,4.84,4.94,0
1,1,"List2",91,7,19,26,4,9.038,10,33,4.2,7.11,0
3,0,"List2",45,9,3,12,3,6.601,13,21,3.43,7.94,1
6,0,"List1",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6,0,"List1",96,14,8,22,5,9.686,1,3,3.75,7.65,1
1,1,"List2",103,19,3,22,6,8.515,2,6,3.73,8.076,0
6,1,"List1",48,9,19,28,4,6.741,3,15,3.43,5.79,0
5,1,"List2",41,14,34,48,5,9.76,5,15,2.5,5.47,0
1,1,"List1",67,14,3,17,5,9.054,6,11,3.66,6.84,0
2,1,"List1",44,9,20,29,4,7.328,1,8,3.15,7.28,0
4,0,"List1",118,12,5,17,3,8.966,4,3,4.14,9.419,0
3,0,"List2",45,22,5,27,4,7.594,6,11,2.43,5.5,1
4,0,"List2",70,9,4,13,6,7.564,3,3,4.46,10.21,1
1,1,"List2",67,12,17,29,3,8.83,14,27,4.21,6.17,0
1,1,"List2",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
6,0,"List2",48,11,32,43,4,7.633,6,12,4.86,8.06,0
6,1,"List1",114,16,4,20,5,7.257,5,12,3.96,7.89,0
2,0,"List1",50,14,14,28,5,8.734,3,8,3.62,8.16,1
3,1,"List1",75,3,6,9,3,6.486,13,13,3.63,6.21,1
6,0,"List1",30,9,12,21,5,10.356,1,6,4.3,7.67,0
3,1,"List1",117,9,12,21,5,10.356,1,6,4.3,7.67,1
4,1,"List2",94,13,4,17,3,9.216,3,14,4.64,7.52,1
5,1,"List1",71,13,13,26,5,7.878,2,7,2.82,5.83,0
6,1,"List2",90,7,19,26,4,9.038,10,33,4.2,7.11,1
3,0,"List2",117,11,15,26,3,9.523,10,22,2.89,7.1,0
2,1,"List2",44,13,10,23,4,9.051,4,35,3.89,7.39,1
4,1,"List2",94,14,34,48,5,9.76,5,15,2.5,5.47,0
3,0,"List2",39,13,1,14,4,7.622,4,11,4.68,6.81,1
4,0,"List1",40,8,52,60,5,9.33,4,10,3.84,6.17,1
3,0,"List1",93,6,8,14,4,8.977,16,25,4.37,5.53,1
2,1,"List2",92,13,4,17,3,9.216,3,14,4.64,7.52,0
1,1,"List2",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3,1,"List2",63,8,3,11,4,8.22,13,17,4.9,8.31,1
1,1,"List1",55,12,9,21,5,8.094,4,2,4.25,7.95,0
4,1,"List2",46,11,8,19,5,7.31,2,12,4.86,6.53,0
1,1,"List2",1,19,14,33,5,8.158,2,9,5,8.47,0
5,0,"List2",23,10,10,20,4,8.825,12,16,3.4,10.24,0
1,1,"List2",19,11,8,19,5,7.31,2,12,4.86,6.53,0
4,0,"List1",34,18,11,29,4,10.294,16,36,2.25,5.55,1
2,0,"List1",62,14,20,34,4,10.721,14,34,3.82,5.26,0
6,0,"List1",48,13,7,20,5,7.728,5,13,4.19,6,1
3,1,"List2",117,14,2,16,7,6.974,3,5,3.74,7.94,0
1,1,"List2",73,10,9,19,4,8.825,12,16,3.4,10.24,0
3,1,"List2",87,19,3,22,6,8.515,2,6,3.73,8.076,0
5,1,"List1",101,16,4,20,5,8.404,4,15,4.42,7.16,1
3,0,"List2",63,16,9,25,4,8.642,14,30,4.56,5.79,0
1,1,"List2",49,8,4,12,6,8.355,0,7,4.84,4.94,0
2,0,"List2",110,14,2,16,7,6.974,3,5,3.74,7.94,1
5,0,"List1",11,8,1,9,5,6.763,3,8,2.47,8.89,0
1,1,"List1",61,16,11,27,4,9.609,10,17,4.86,6.37,0
2,1,"List1",68,14,4,18,5,8.139,1,4,3.07,8.63,1
6,0,"List1",36,5,3,8,4,7.682,3,29,4.63,8.53,0
6,0,"List1",48,11,8,19,5,8.919,0,1,3.64,8.78,1
2,0,"List2",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
4,0,"List1",76,6,6,12,5,6.922,3,16,4.09,8.7,0
6,0,"List2",12,11,7,18,5,8.765,3,13,3.19,8.17,1
2,0,"List2",50,12,17,29,3,8.83,14,27,4.21,6.17,0
5,0,"List1",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2,1,"List2",2,9,2,11,4,8.535,12,8,3.85,10.1,1
2,1,"List1",2,14,45,59,3,9.608,12,34,4.81,4.74,0
2,0,"List2",38,16,2,18,5,7.01,3,3,3.56,8.79,0
3,0,"List2",9,16,104,120,5,10.136,4,5,4.76,3.95,1
5,0,"List2",17,9,15,24,5,8.27,1,10,2.7,8.39,0
6,0,"List2",48,12,6,18,5,8.331,1,22,3.79,6.62,0
6,1,"List2",42,11,32,43,4,7.633,6,12,4.86,8.06,0
4,0,"List1",82,14,2,16,4,6.989,13,27,4.5,7.6,0
1,1,"List1",25,13,13,26,5,7.878,2,7,2.82,5.83,0
5,0,"List1",17,5,2,7,4,6.976,12,11,4.3,5.62,1
1,1,"List1",67,11,4,15,4,8.079,5,24,3.83,5.55,0
6,0,"List2",114,13,8,21,4,9.769,11,12,4.8,7.17,0
4,1,"List1",46,15,3,18,5,8.108,1,4,3.07,8.89,1
4,1,"List1",76,13,11,24,3,8.813,16,20,3.92,8.22,0
5,1,"List2",47,12,9,21,5,7.396,1,26,3.29,5.47,1
1,1,"List2",61,11,17,28,4,7.65,3,4,2.85,8,0
6,0,"List2",102,11,1,12,5,6.506,1,14,4.28,7,0
3,1,"List2",81,12,1,13,5,6.582,5,9,3.19,6.11,1
3,1,"List2",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
6,1,"List2",36,10,7,17,4,7.35,6,5,4.43,6.95,0
6,0,"List2",84,11,11,22,4,8.371,15,34,3.03,7.47,0
4,0,"List2",4,10,2,12,5,8.053,2,8,1.86,9,1
2,1,"List2",8,17,96,113,3,10.764,13,24,4.83,5.58,0
1,1,"List1",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2,1,"List2",56,10,20,30,4,8.747,13,22,3.13,8.79,0
1,1,"List1",7,10,58,69,5,9.72,6,6,4.96,4,0
2,0,"List2",104,14,8,22,4,7.705,13,31,4.84,5.83,1
1,1,"List1",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
5,0,"List1",65,11,8,19,5,8.919,0,1,3.64,8.78,0
2,1,"List1",80,17,11,28,4,8.097,12,27,4.85,6.44,0
2,1,"List2",26,10,8,18,5,8.921,7,13,4,6.94,1
3,1,"List1",93,17,4,21,5,7.026,3,14,4.2,9.89,0
3,1,"List1",105,11,4,15,4,6.727,4,15,4.61,8.44,0
5,0,"List1",35,14,8,22,5,9.686,1,3,3.75,7.65,0
5,0,"List1",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2,1,"List1",110,11,2,13,4,8.35,14,13,4,6.94,1
4,1,"List2",34,20,28,48,5,10.055,9,8,3.38,5.83,0
6,1,"List2",72,16,53,74,5,9.211,4,5,4.89,8.11,0
4,1,"List1",112,20,11,31,3,7.774,17,33,3.96,7.57,1
1,0,"List1",49,11,2,13,5,10.017,5,9,2.38,7.17,0
2,0,"List2",14,11,1,12,5,6.506,1,14,4.28,7,1
4,0,"List1",10,18,14,32,3,9.062,18,23,4.29,7.05,1
2,1,"List2",26,11,5,16,5,9.906,7,14,4.03,6.94,1
4,1,"List2",94,12,8,20,4,9.216,10,21,3.79,11.06,0
5,1,"List1",101,8,2,10,4,7.343,8,7,3.93,6.68,0
4,0,"List1",4,5,2,7,4,6.976,12,11,4.3,5.62,0
1,0,"List1",79,9,12,21,5,10.356,1,6,4.3,7.67,1
4,1,"List1",82,15,12,27,4,6.98,15,23,3.96,7.35,0
3,0,"List2",93,14,3,17,4,7.567,6,33,3.81,7.58,1
5,0,"List2",83,7,0,7,5,8.659,4,8,2.88,4,1
6,0,"List2",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
6,0,"List2",48,14,3,17,4,7.567,6,33,3.81,7.58,0
5,0,"List2",83,10,9,19,4,8.333,11,15,4.21,4.89,1
1,0,"List1",67,11,3,14,6,8.028,2,7,4.32,7.39,1
3,1,"List1",111,12,17,29,4,10.8,8,8,2.15,4.22,1
6,0,"List2",66,16,104,120,5,10.136,4,5,4.76,3.95,0
2,1,"List1",98,10,14,24,5,9.632,6,4,3.12,6.05,1
2,1,"List2",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2,1,"List1",86,13,48,61,4,9.813,4,27,4.97,6.67,0
5,0,"List2",29,7,0,7,5,8.659,4,8,2.88,4,0
4,0,"List2",34,12,4,16,6,7.851,1,5,2.46,8.37,0
6,1,"List1",60,10,3,13,4,6.933,1,9,1.86,9.28,1
6,0,"List2",36,9,2,11,4,6.69,5,6,4.39,9.82,0
3,1,"List1",27,14,2,16,4,6.989,13,27,4.5,7.6,0
5,1,"List1",41,15,6,21,5,10.136,8,22,4.7,7.28,0
5,0,"List2",59,9,2,11,5,6.837,3,8,2.47,8.8,1
4,0,"List1",4,11,4,15,4,8.079,5,24,3.83,5.55,0
6,1,"List1",66,18,12,30,4,10.294,16,36,2.25,5.55,0
1,1,"List1",25,9,2,11,4,8.449,16,21,3.52,8.84,0
1,1,"List2",97,13,4,17,4,7.567,10,7,3.6,6.95,0
3,0,"List1",15,11,13,24,4,8.719,5,11,3.27,6.83,1
6,0,"List2",78,9,2,11,4,8.535,12,8,3.85,10.1,0
2,1,"List2",56,13,4,17,6,7.863,1,2,2.61,7.17,1
5,1,"List2",89,15,4,19,4,7.81,14,19,4.63,7.33,0
3,0,"List1",81,12,10,22,4,9.414,6,24,3.5,7.32,0
6,0,"List1",78,6,33,40,5,8.352,4,15,2.89,8.05,1
2,1,"List2",98,14,8,22,4,7.705,13,31,4.84,5.83,0
